"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1677","@smoke UI smoke: login form is correct","","Thu Nov 06 12:59:13 CET 2025","passed","Thu Nov 06 12:59:15 CET 2025","Login Tests","login.test.js","",""
"","1913","@smoke Successful login","","Thu Nov 06 12:59:13 CET 2025","passed","Thu Nov 06 12:59:15 CET 2025","Login Tests","login.test.js","",""
